date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2014-03-03,4238,585,1391885,2379.2905982906,1.88159774,4202304.13990046687073,2233370.101602099321958320529,277.17681351665,0.00114205972529569,0.001352310870520728258671703481,0.001,0.00118409820482077,2.99333854,3.5444067916348246334758,12404,127.571852962666,14687.55413259683108,12404,14687.55413259683108,13.48695909,,0.0017503151081239108,1.18409820482077,,,3548949,2621,5185,263139.3020198,311582.775139435597357991246,60.3599865947657,71.47215176986780736818864359,4.96386143,5.8776994082420602659011,312966.53049386,370583.1069267643982608854722,,,
2014-03-04,3675,575,1250815,2175.33043478261,1.59518238,3599050.93571564894426,2256200.281899510802015862789,250.86310781633,0.00135520588809947,0.001369530747028492269507540394,0.001,0.00101057024549171,3.05192366,3.0841832423081580828586,12457,127.668819561712,12588.67354809023147,12457,12588.67354809023147,19.66671248,,0.00149822559906487,1.01057024549171,,,3561406,2252,4498,181088.01880051,183002.1636148387865493487721,56.4109323764295,57.00720978006461159904164944,4.725642525,4.77559372659531431096775,253736.37382918,256418.4295907307331246460978,,,
2014-03-05,3700,563,1353863,2404.73001776199,1.51628428,3716653.5148912816974,2451158.774326414153920817323,278.52732132263,0.00108420390517241,0.001127679128031635018433184349,0.001,0.0010400987513989,2.51535306,2.616215577033402395634,11960,122.164927969875,12439.581066730844,11960,12439.581066730844,8.6045337,,0.0015516014769140895,1.0400987513989,,,3573366,2320,4632,415288.74489317,431941.305033402425768555513,139.583901893415,145.1810420747274950899482435,5.043933805,5.2461892527192027498145,646552.6335703,672478.58689013954622649267,,,
2014-03-06,3645,576,1027625,1784.07118055556,1.53041466,3795617.5415646714674,2480123.624507319044592877817,262.935925730666,0.00117848097021277,0.001247458834979597765859094783,0.001,0.00105853116555151,2.76943028,2.9315282622020446937228,12374,125.957542933955,13098.26464253438474,12374,13098.26464253438474,21.01881673,,0.0015853090005844492,1.05853116555151,,,3585740,2350,4660,170596.66329791,180581.8848399351801405803441,139.031424179624,147.1690954851437827312644322,5.03446355,5.3291365695080927424605,647886.43667705,685807.9849607723139550098455,,,
2014-03-07,3418,564,1019498,1807.62056737589,1.30846209,3275395.528815079109405,2503240.675782899940500448204,262.920562673247,0.0015378110324349,0.001399983206614318483996840858,0.001,0.000910374016759165,3.36626835,3.06456323927874671192775,12117,122.926091837447,11031.001961070802305,12117,11031.001961070802305,12.05248783,,0.0014409889538281703,0.910374016759165,,,3597857,2189,4434,298515.71315805,271760.9488534207026084310282,140.561850540618,127.963856479763817047556264,4.9957656,4.548015196059259991724,623251.2452971,567391.7396312725717895729215,,,
2014-03-08,3417,582,1062777,1826.07731958763,1.27799985,3302334.393240284417554,2583986.53484572370027657978,281.918622860506,0.00102148544151641,0.0009343918992953122471515076855,0.001,0.000914738342142394,2.20947301,2.02108967817576511978594,12284,124.196257154499,11236.645794877167896,12284,11236.645794877167896,18.90914668,,0.001471766454120398,0.914738342142394,,,3610141,2163,4291,190920.35519371,174642.1691911312872862731417,54.1000999187462,49.4874357094117633346303464,5.0143994,4.5868633939958151881636,232143.52875134,212350.586629085927511298308,,,
2014-03-09,3491,584,1069077,1830.61130136986,1.17386781,3042207.694019156452992,2591610.111665039651859109211,310.240301652986,0.00102535300839552,0.0008611547700522047118041976307,0.001,0.000839861748101511,2.19835685,1.84631582699193120220035,12131,122.238611567547,10188.362866219429941,12131,10188.362866219429941,65.1561939,,0.0013110980741035518,0.839861748101511,,,3622272,2144,4273,55593.67088441,46690.99761236065767382734351,19.7810837722256,16.61337559628382386115119288,4.13996297,3.47699653705972334104767,84524.57095872,70988.95392292078876515062592,,,
2014-03-10,3178,570,1017582,1785.23157894737,1.1458533,2956393.038810931395228,2580079.867647306442114982426,334.608840536536,0.000956375873175642,0.0007780446932998260547855017902,0.001,0.000813534422105748,1.90031886,1.54597480558675383880728,11739,117.906495054638,9550.080581099375772,11739,9550.080581099375772,31.43247395,,0.001295125073056692,0.813534422105748,,581.5964296491372,3634011,1987,3995,115613.26690097,94055.37227603823193758377556,62.0961628021076,50.51736592019705177180447448,4.99235846,4.06145545470084204242808,248074.17039442,201816.8768511873340961091262,,0.3412511399763066,
2014-03-11,3410,566,1046362,1848.6961130742,1.22647828,3188558.280670856793056,2599767.417806397556605083633,293.426178034241,0.00100021258198614,0.00087474494959908021367668577,0.001,0.000874559034102614,2.16546024,1.89382281588201469706736,11893,119.063612207014,10401.130592582388302,11893,10401.130592582388302,23.13757943,,0.0013800100000000012,0.874559034102614,,324.2067536204071,3645904,2165,4331,157574.99657189,137808.6368006348306524879205,59.5510784907804,52.08093368466585889838653997,4.58692933,4.01154048434175038626862,257915.72094357,225562.523788287911500283492,,0.32888606080224275,
2014-03-12,3466,579,1123526,1940.45941278066,1.19401088,3122022.375738950342402,2614735.288498545569282780057,339.441830231626,0.00108795517096019,0.0009286010996660293752744993681,0.001,0.000853528825867411,2.32278429,1.98256334778696789377319,11878,118.527293316004,10138.215393653107858,11878,10138.215393653107858,39.79401887,,0.0013448878872004662,0.853528825867411,,242.1933604965913,3657782,2135,4340,91917.88372767,78454.56337429537852985196237,27.4751128316083,23.45080079573727025562568711,3.79031878,3.23514633795659770327858,119241.98968918,101776.475453499734131781313,,0.3280177941667509,
2014-03-13,3415,591,1036561,1753.910321489,1.1883722,3138492.236573892701445,2641001.05388590650513603765,294.109892745192,0.00097198375648891,0.0008311702305884369444618838816,0.001,0.000855127696362815,2.05963358,1.7612497186168976373277,12421,123.526273614838,10621.541116522525115,12421,10621.541116522525115,50.00730192,,0.00132901,0.855127696362815,,193.39192212609052,3670203,2119,4281,73393.34175407,62760.67926252668301122290705,22.5551507628405,19.28753411294378620450797601,3.18086859,2.72004882979953547748085,96558.60041572,82569.9335375121943909494518,,0.3273642743351276,
2014-03-14,3708,568,1131175,1991.50528169014,1.12099186,2965741.360490371582544,2645640.399775863288468824642,291.330534029127,0.000952488659450458,0.0007671737495370213595908061337,0.001,0.000805441347700292,2.28787776,1.84275134638792521230592,11929,118.249019861319,9608.109836716783268,11929,9608.109836716783268,51.16954842,,0.0012819199999999987,0.805441347700292,,160.97044053017163,3682132,2402,4756,71959.43903122,57959.10755306283133139111624,19.4056303348129,15.63009704984537084740309537,2.7915488,2.2484288276431328922496,92293.17787237,74336.74156906446100098773204,,0.3277986138941719,
2014-03-15,3036,566,1001772,1769.91519434629,1.10970247,2945455.057344058187447,2654274.580188096369809975941,292.405914654414,0.00107431910772579,0.0008566121389222702331415135687,0.001,0.000797353535613473,1.97459852,1.57445311133913107785996,11907,117.65049042525,9494.088548549623011,11907,9494.088548549623011,96.68983348,,0.001253269666861483,0.797353535613473,,355.7148456167449,3694039,1838,3631,38205.04045738,30462.92408694772062281028074,14.2514852970614,11.36347218935533384169314824,3.78236451,3.01588171502742135304323,51747.14311363,41260.76751954926230939793699,,0.3078336077415864,
2014-03-16,3240,578,1110575,1921.41003460208,1.04145745,2765273.18512395588306,2655195.536523277385652047677,286.39362221702,0.00109580487817259,0.0008175896579675161457465178138,0.001,0.000746108795692681,2.15873561,1.61065162619600509107041,12221,120.354886057643,9118.195592160254501,12221,9118.195592160254501,34.11872277,,0.0011765143237872596,0.746108795692681,,97.45350560673185,3706260,1970,3899,108628.33363264,81048.55518475178583779070784,76.9367477080713,57.40318417698071275625803616,4.0342,3.0099521035834136902,299976.37931377,223815.0151060478000065915174,,0.27673863285110645,
2014-03-17,3005,570,949282,1665.40701754386,1.09938162,2924615.562607034606087,2660236.915154827742789471821,298.52067234868,0.0012493698476605,0.0009827103772483927967635438895,0.001,0.000786564826331099,2.29634178,1.80622167338254674701622,11953,117.337145558902,9401.809369135626347,11953,9401.809369135626347,26.73086836,,0.0012630300000000011,0.786564826331099,,136.2878413057237,3718213,1838,3628,139098.09997298,109409.672848232860204433705,66.6997201238093,52.46365377551697114495493542,3.75365,2.95248906035772976135,241986.58460918,190338.1358975754608801948888,,0.27533365500814755,
2014-03-18,3056,574,1059987,1846.66724738676,1.04617426,2784201.114421616236564,2661316.774864105749033459642,297.75265216493,0.000939852646137787,0.0007014926596675529800420692546,0.001,0.000746385789889781,1.80075767,1.34405993592303159037027,12031,117.721923820533,8979.767438163955211,12031,8979.767438163955211,25.98846874,,0.0012149995616598476,0.746385789889781,,72.08257984760793,3730244,1916,3782,143534.58207986,107132.1724221759110871399107,52.8155902372422,39.42080603771902532797940196,3.48179199,2.59876006468806246865419,199748.56227725,149089.4884346533534918637822,,0.2720286601384041,
